Calle 1,Calle 2,Latitud,Longitud
prolongacion naranjal,entrada al templo huaca el paraiso,-11.948.377,-77.114.573
prolongacion naranjal,calle uranio,-11.952.250,-77.109.731
prolongacion naranjal,el sol de naranjal,-11.951.150,-77.112.078
prolongacion naranjal,avenida josefina,-11.954.132,-77.105.738
entrada al templo huaca el paraiso,prolongacion naranjal,-11.948.377,-77.114.573
calle uranio,prolongacion naranjal,-11.952.250,-77.109.731
el sol de naranjal,prolongacion naranjal,-11.951.150,-77.112.078
el sol de naranjal,avenida josefina,-11.959.310,-77.111.275
el sol de naranjal,san nicolas,-11.962.610,-77.107.892
el sol de naranjal,los eucaliptos,-11.964.076,-77.106.260
el sol de naranjal,avenida paramonga,-11.966.049,-77.104.222
el sol de naranjal,los claveles,-11.966.339,-77.103.778
el sol de naranjal,calle las palmas,-11.967.033,-77.102.723
el sol de naranjal,las gardenias,-11.967.239,-77.102.303
el sol de naranjal,circa patria,-11.967.534,-77.101.308
el sol de naranjal,avenida central,-11.967.833,-77.099.961
el sol de naranjal,avenida pacasmayo,-11.968.343,-77.097.000
el sol de naranjal,los geranios 2,-11.970.205,-77.095.990
el sol de naranjal,jiron las americas,-11.970.902,-77.095.274
el sol de naranjal,avenida san jose,-11.971.864,-77.094.194
el sol de naranjal,los portales de chavin,-11.972.385,-77.093.372
el sol de naranjal,calle los ficus,-11.973.014,-77.091.181
el sol de naranjal,calle los claveles,-11.972.659,-77.092.380
el sol de naranjal,avenida naranjal,-11.973.722,-77.088.578
el sol de naranjal,avenida canta callao,-11.973.864,-77.088.405
el sol de naranjal,miguel grau,-11.971.613,-77.094.397
avenida josefina,avenida paramonga,-11.962.428,-77.114.461
avenida josefina,el sol de naranjal,-11.959.310,-77.111.275
avenida josefina,avenida naranjal,-11.954.392,-77.105.983
avenida josefina,prolongacion naranjal,-11.954.132,-77.105.738
avenida josefina,las torres de los olivos,-11.954.023,-77.105.622
avenida naranjal,avenida josefina,-11.954.392,-77.105.983
avenida naranjal,san nicolas,-11.957.510,-77.102.505
avenida naranjal,calle e,-11.958.967,-77.101.589
avenida naranjal,calle uranio,-11.959.443,-77.101.175
avenida naranjal,avenida paramonga,-11.961.302,-77.099.446
avenida naranjal,los claveles,-11.961.680,-77.099.103
avenida naranjal,las gardenias,-11.963.186,-77.097.843
avenida naranjal,avenida central,-11.964.011,-77.097.114
avenida naranjal,calle 28 de mayo,-11.965.461,-77.095.791
avenida naranjal,avenida pacasmayo,-11.966.591,-77.094.733
avenida naranjal,calle los petalos,-11.968.776,-77.092.669
avenida naranjal,jiron las americas,-11.968.958,-77.092.511
avenida naranjal,santa cruz,-11.969.033,-77.092.450
